class,framework,seed,f1
Cherry_(including_sour)__Powdery_mildew,ffs,492,0.9772798008092126
Cherry_(including_sour)__Powdery_mildew,ffc,0,0.9765850624250232
Cherry_(including_sour)__Powdery_mildew,ffc,1,0.9703157918204012
Cherry_(including_sour)__Powdery_mildew,ffc,42,0.9754648526077097
Cherry_(including_sour)__Powdery_mildew,ffc,123,0.9778425002800492
Cherry_(including_sour)__Powdery_mildew,ffc,492,0.9612403100775192
Cherry_(including_sour)__Powdery_mildew,film,0,0.9661055505004547
Cherry_(including_sour)__Powdery_mildew,film,1,0.9715348627473084
Cherry_(including_sour)__Powdery_mildew,film,42,0.9507276507276506
Cherry_(including_sour)__Powdery_mildew,film,123,0.9767954806328915
Cherry_(including_sour)__Powdery_mildew,film,492,0.9637434682604781
Cherry_(including_sour)__healthy,one_stage,0,0.9921259842519684
Cherry_(including_sour)__healthy,one_stage,1,1.0
Cherry_(including_sour)__healthy,one_stage,42,0.9961089494163424
Cherry_(including_sour)__healthy,one_stage,123,0.992248062015504
Cherry_(including_sour)__healthy,one_stage,492,0.9921259842519684
Cherry_(including_sour)__healthy,two_stage,0,1.0
Cherry_(including_sour)__healthy,two_stage,1,0.9961089494163424
Cherry_(including_sour)__healthy,two_stage,42,1.0
Cherry_(including_sour)__healthy,two_stage,123,1.0
Cherry_(including_sour)__healthy,two_stage,492,1.0
Cherry_(including_sour)__healthy,attention,0,0.9859033152951961
Cherry_(including_sour)__healthy,attention,1,0.9922775243058862
Cherry_(including_sour)__healthy,attention,42,0.9915703108772416
Cherry_(including_sour)__healthy,attention,123,0.9851800765170927
Cherry_(including_sour)__healthy,attention,492,0.9847714924315383
Cherry_(including_sour)__healthy,gating,0,0.9839159126947113
Cherry_(including_sour)__healthy,gating,1,0.9919785053411627
Cherry_(including_sour)__healthy,gating,42,0.9797575104759154
Cherry_(including_sour)__healthy,gating,123,0.991554029582627
Cherry_(including_sour)__healthy,gating,492,0.991165818112666
Cherry_(including_sour)__healthy,ffs,0,0.9480814991851123
Cherry_(including_sour)__healthy,ffs,1,0.941605521485527
Cherry_(including_sour)__healthy,ffs,42,0.9227844935389745
Cherry_(including_sour)__healthy,ffs,123,0.9467157434838555
Cherry_(including_sour)__healthy,ffs,492,0.9430477925787311
Cherry_(including_sour)__healthy,ffc,0,0.9507190137887384
Cherry_(including_sour)__healthy,ffc,1,0.9424264037521373
Cherry_(including_sour)__healthy,ffc,42,0.9474276142617849
Cherry_(including_sour)__healthy,ffc,123,0.9405574619228222
Cherry_(including_sour)__healthy,ffc,492,0.9323093199584647
Cherry_(including_sour)__healthy,film,0,0.9436804074863776
Cherry_(including_sour)__healthy,film,1,0.9355779279855038
Cherry_(including_sour)__healthy,film,42,0.9317592937117342
Cherry_(including_sour)__healthy,film,123,0.9509479208350625
Cherry_(including_sour)__healthy,film,492,0.937151326015447
Corn_(maize)__Cercospora_leaf_spot Gray_leaf_spot,one_stage,0,0.8831168831168831
Corn_(maize)__Cercospora_leaf_spot Gray_leaf_spot,one_stage,1,0.8489208633093526
Corn_(maize)__Cercospora_leaf_spot Gray_leaf_spot,one_stage,42,0.8689655172413793
Corn_(maize)__Cercospora_leaf_spot Gray_leaf_spot,one_stage,123,0.8085106382978723
Corn_(maize)__Cercospora_leaf_spot Gray_leaf_spot,one_stage,492,0.8717948717948718
Corn_(maize)__Cercospora_leaf_spot Gray_leaf_spot,two_stage,0,0.9056603773584906
Corn_(maize)__Cercospora_leaf_spot Gray_leaf_spot,two_stage,1,0.8571428571428571
Corn_(maize)__Cercospora_leaf_spot Gray_leaf_spot,two_stage,42,0.89171974522293
