disease,framework,seed,f1
Common_rust_,gating,492,0.9888622602570457
Common_rust_,ffs,0,0.9731858660318192
Common_rust_,ffs,1,0.9681183414400543
Common_rust_,ffs,42,0.9601787009261245
Common_rust_,ffs,123,0.9813751323278285
Common_rust_,ffs,492,0.9809015645235317
Common_rust_,ffc,0,0.977101865259635
Common_rust_,ffc,1,0.9755193435668706
Common_rust_,ffc,42,0.9736271990269404
Common_rust_,ffc,123,0.9733372923217549
Common_rust_,ffc,492,0.9728597579195931
Common_rust_,film,0,0.9658264715458893
Common_rust_,film,1,0.9791972669388225
Common_rust_,film,42,0.9681254836474432
Common_rust_,film,123,0.9753506547493892
Common_rust_,film,492,0.9699496602828406
Early_blight,one_stage,0,0.8860866401600791
Early_blight,one_stage,1,0.8934734801893474
Early_blight,one_stage,42,0.9082272032603158
Early_blight,one_stage,123,0.88691627783468
Early_blight,one_stage,492,0.892885235086651
Early_blight,two_stage,0,0.927007299270073
Early_blight,two_stage,1,0.9059551509882635
Early_blight,two_stage,42,0.9045888704318936
Early_blight,two_stage,123,0.8990324917218543
Early_blight,two_stage,492,0.9158063887806778
Early_blight,attention,0,0.952066250639307
Early_blight,attention,1,0.9687752610039925
Early_blight,attention,42,0.9560694327765423
Early_blight,attention,123,0.9665057846719307
Early_blight,attention,492,0.9355654814305588
Early_blight,gating,0,0.9514886894182869
Early_blight,gating,1,0.9604061594605134
Early_blight,gating,42,0.9396167208372832
Early_blight,gating,123,0.9532524011844993
Early_blight,gating,492,0.9418773995886413
Early_blight,ffs,0,0.8929798580436863
Early_blight,ffs,1,0.8625125142953296
Early_blight,ffs,42,0.8799308395902957
Early_blight,ffs,123,0.8812608837641029
Early_blight,ffs,492,0.8994256300630795
Early_blight,ffc,0,0.8974923650883952
Early_blight,ffc,1,0.8619382764257515
Early_blight,ffc,42,0.8891270045556168
Early_blight,ffc,123,0.8806964660727993
Early_blight,ffc,492,0.8808289302079826
Early_blight,film,0,0.8788876499668118
Early_blight,film,1,0.8845472674983387
Early_blight,film,42,0.8721547835293488
Early_blight,film,123,0.9043356001643024
Early_blight,film,492,0.9011219693323081
Esca_(Black_Measles),one_stage,0,0.9975786924939468
Esca_(Black_Measles),one_stage,1,0.9927360774818402
Esca_(Black_Measles),one_stage,42,0.9761904761904762
Esca_(Black_Measles),one_stage,123,0.9927710843373494
Esca_(Black_Measles),one_stage,492,0.9904306220095692
Esca_(Black_Measles),two_stage,0,0.9903846153846154
Esca_(Black_Measles),two_stage,1,0.9951690821256038
Esca_(Black_Measles),two_stage,42,0.9879518072289156
Esca_(Black_Measles),two_stage,123,0.988009592326139
Esca_(Black_Measles),two_stage,492,0.9927710843373494
Esca_(Black_Measles),attention,0,0.9912715389366842
Esca_(Black_Measles),attention,1,0.9936581872284103
Esca_(Black_Measles),attention,42,0.994647673046473
Esca_(Black_Measles),attention,123,0.9815098590322077
Esca_(Black_Measles),attention,492,0.9787859390258639
Esca_(Black_Measles),gating,0,0.9853700742721907
Esca_(Black_Measles),gating,1,0.995789544282743
Esca_(Black_Measles),gating,42,0.9751910276794608
Esca_(Black_Measles),gating,123,0.9885670660214314
Esca_(Black_Measles),gating,492,0.9892234176288712
Esca_(Black_Measles),ffs,0,0.9498692846414336
Esca_(Black_Measles),ffs,1,0.8973573639698081
Esca_(Black_Measles),ffs,42,0.9444290297881582
Esca_(Black_Measles),ffs,123,0.9100023954312592
Esca_(Black_Measles),ffs,492,0.9470295460416414
Esca_(Black_Measles),ffc,0,0.9306080141531159
Esca_(Black_Measles),ffc,1,0.9162637626110322
Esca_(Black_Measles),ffc,42,0.940554205658714
Esca_(Black_Measles),ffc,123,0.9147849923520414
Esca_(Black_Measles),ffc,492,0.9181206306589488
Esca_(Black_Measles),film,0,0.9120614100467378
Esca_(Black_Measles),film,1,0.9299913741278264
Esca_(Black_Measles),film,42,0.9194759618561145
Esca_(Black_Measles),film,123,0.9154414759557936
Esca_(Black_Measles),film,492,0.928767068988517
Late_blight,one_stage,0,0.9420334038712146
Late_blight,one_stage,1,0.9300946459067053
Late_blight,one_stage,42,0.9338152810669326
Late_blight,one_stage,123,0.9171029827601933
Late_blight,one_stage,492,0.9413667808408037
Late_blight,two_stage,0,0.9701631977294229
Late_blight,two_stage,1,0.9691413237924866
Late_blight,two_stage,42,0.9684664514152388
Late_blight,two_stage,123,0.9670464648355247
Late_blight,two_stage,492,0.9687213606446161
Late_blight,attention,0,0.9835264619488601
Late_blight,attention,1,0.985708921730583
Late_blight,attention,42,0.9821720465886494
Late_blight,attention,123,0.9772904269619723
Late_blight,attention,492,0.9710926995321312
Late_blight,gating,0,0.9822502611267385
Late_blight,gating,1,0.9822413872176716
Late_blight,gating,42,0.9722456833624713
Late_blight,gating,123,0.9786304169898683
Late_blight,gating,492,0.9701411335268649
Late_blight,ffs,0,0.9317314734776703
Late_blight,ffs,1,0.9270638750451641
Late_blight,ffs,42,0.9124718687889106
Late_blight,ffs,123,0.9275469990800482
Late_blight,ffs,492,0.9402945988943594
Late_blight,ffc,0,0.9200334819908137
Late_blight,ffc,1,0.9144358436572331
Late_blight,ffc,42,0.9416917457054458
Late_blight,ffc,123,0.903571793963301
Late_blight,ffc,492,0.9248405098033963
Late_blight,film,0,0.9226610426499837
Late_blight,film,1,0.9295198407694346
Late_blight,film,42,0.9169422466042151
Late_blight,film,123,0.9351842546653966
Late_blight,film,492,0.9402040869613426
