disease,framework,seed,f1
Early_blight,ffc,42,0.9106529209621992
Early_blight,ffc,123,0.8972602739726028
Early_blight,ffc,492,0.9003436426116839
Early_blight,film,0,0.9049295774647887
Early_blight,film,1,0.9033391915641475
Early_blight,film,42,0.9008695652173913
Early_blight,film,123,0.9220103986135182
Early_blight,film,492,0.9212328767123288
Esca_(Black_Measles),one_stage,0,0.9975786924939468
Esca_(Black_Measles),one_stage,1,0.9927360774818402
Esca_(Black_Measles),one_stage,42,0.9761904761904762
Esca_(Black_Measles),one_stage,123,0.9927710843373494
Esca_(Black_Measles),one_stage,492,0.9904306220095692
Esca_(Black_Measles),two_stage,0,0.9903846153846154
Esca_(Black_Measles),two_stage,1,0.9951690821256038
Esca_(Black_Measles),two_stage,42,0.9879518072289156
Esca_(Black_Measles),two_stage,123,0.988009592326139
Esca_(Black_Measles),two_stage,492,0.9927710843373494
Esca_(Black_Measles),attention,0,0.9975786924939468
Esca_(Black_Measles),attention,1,1.0
Esca_(Black_Measles),attention,42,1.0
Esca_(Black_Measles),attention,123,0.9951456310679612
Esca_(Black_Measles),attention,492,0.9975786924939468
Esca_(Black_Measles),gating,0,0.9951690821256038
Esca_(Black_Measles),gating,1,1.0
Esca_(Black_Measles),gating,42,0.9927360774818402
Esca_(Black_Measles),gating,123,0.9951456310679612
Esca_(Black_Measles),gating,492,0.9975786924939468
Esca_(Black_Measles),ffs,0,0.9705882352941176
Esca_(Black_Measles),ffs,1,0.9166666666666666
Esca_(Black_Measles),ffs,42,0.978102189781022
Esca_(Black_Measles),ffs,123,0.9246753246753248
Esca_(Black_Measles),ffs,492,0.9627791563275434
Esca_(Black_Measles),ffc,0,0.949748743718593
Esca_(Black_Measles),ffc,1,0.934010152284264
Esca_(Black_Measles),ffc,42,0.9633251833740832
Esca_(Black_Measles),ffc,123,0.9319899244332494
Esca_(Black_Measles),ffc,492,0.9384615384615383
Esca_(Black_Measles),film,0,0.9390862944162436
Esca_(Black_Measles),film,1,0.949748743718593
Esca_(Black_Measles),film,42,0.949748743718593
Esca_(Black_Measles),film,123,0.9333333333333332
Esca_(Black_Measles),film,492,0.9494949494949496
Late_blight,one_stage,0,0.9420334038712146
Late_blight,one_stage,1,0.9300946459067053
Late_blight,one_stage,42,0.9338152810669326
Late_blight,one_stage,123,0.9171029827601933
Late_blight,one_stage,492,0.9413667808408037
Late_blight,two_stage,0,0.9701631977294229
Late_blight,two_stage,1,0.9691413237924866
Late_blight,two_stage,42,0.9684664514152388
Late_blight,two_stage,123,0.9670464648355247
Late_blight,two_stage,492,0.9687213606446161
Late_blight,attention,0,0.9897843359818388
Late_blight,attention,1,0.992
Late_blight,attention,42,0.9874572405929304
Late_blight,attention,123,0.9908675799086758
Late_blight,attention,492,0.9897377423033068
Late_blight,gating,0,0.992018244013683
Late_blight,gating,1,0.9863945578231292
Late_blight,gating,42,0.9897377423033068
Late_blight,gating,123,0.9851428571428572
Late_blight,gating,492,0.9783352337514252
Late_blight,ffs,0,0.952054794520548
Late_blight,ffs,1,0.9470124013528748
Late_blight,ffs,42,0.9450056116722784
Late_blight,ffs,123,0.9425028184892896
Late_blight,ffs,492,0.9559322033898304
Late_blight,ffc,0,0.9389567147613762
Late_blight,ffc,1,0.932146829810901
Late_blight,ffc,42,0.9644902634593356
Late_blight,ffc,123,0.9205658324265504
Late_blight,ffc,492,0.9453302961275628
Late_blight,film,0,0.95
Late_blight,film,1,0.9492671927846674
Late_blight,film,42,0.9471316085489314
Late_blight,film,123,0.9534619750283768
Late_blight,film,492,0.9611872146118722
Leaf_Mold,one_stage,0,0.922509225092251
Leaf_Mold,one_stage,1,0.9037037037037036
Leaf_Mold,one_stage,42,0.9214285714285714
Leaf_Mold,one_stage,123,0.8803088803088803
Leaf_Mold,one_stage,492,0.9110320284697508
Leaf_Mold,two_stage,0,0.946236559139785
Leaf_Mold,two_stage,1,0.9273356401384084
Leaf_Mold,two_stage,42,0.9309090909090908
Leaf_Mold,two_stage,123,0.9285714285714286
Leaf_Mold,two_stage,492,0.922509225092251
Leaf_Mold,attention,0,1.0
Leaf_Mold,attention,1,0.9964912280701754
Leaf_Mold,attention,42,1.0
Leaf_Mold,attention,123,1.0
Leaf_Mold,attention,492,0.9964912280701754
Leaf_Mold,gating,0,1.0
Leaf_Mold,gating,1,0.9965156794425089
Leaf_Mold,gating,42,0.9965156794425089
Leaf_Mold,gating,123,0.9930555555555556
Leaf_Mold,gating,492,0.986206896551724
Leaf_Mold,ffs,0,0.9458483754512635
Leaf_Mold,ffs,1,0.920863309352518
Leaf_Mold,ffs,42,0.9236363636363636
Leaf_Mold,ffs,123,0.922509225092251
Leaf_Mold,ffs,492,0.924187725631769
Leaf_Mold,ffc,0,0.9295774647887324
Leaf_Mold,ffc,1,0.9236363636363636
Leaf_Mold,ffc,42,0.9197080291970804
Leaf_Mold,ffc,123,0.9328621908127208
Leaf_Mold,ffc,492,0.9187279151943464
Leaf_Mold,film,0,0.9010989010989012
Leaf_Mold,film,1,0.9377289377289376
Leaf_Mold,film,42,0.9169675090252708
Leaf_Mold,film,123,0.9357142857142856
Leaf_Mold,film,492,0.927536231884058
Leaf_blight_(Isariopsis_Leaf_Spot),one_stage,0,0.9969040247678018
Leaf_blight_(Isariopsis_Leaf_Spot),one_stage,1,0.9969040247678018
