class,framework,seed,f1
Cherry_(including_sour)__Powdery_mildew,ffs,123,0.9904761904761904
Cherry_(including_sour)__Powdery_mildew,ffs,492,0.9968253968253968
Cherry_(including_sour)__Powdery_mildew,ffc,0,0.9905362776025236
Cherry_(including_sour)__Powdery_mildew,ffc,1,0.9842271293375394
Cherry_(including_sour)__Powdery_mildew,ffc,42,0.9968253968253968
Cherry_(including_sour)__Powdery_mildew,ffc,123,0.9936708860759492
Cherry_(including_sour)__Powdery_mildew,ffc,492,0.984126984126984
Cherry_(including_sour)__Powdery_mildew,film,0,0.9872611464968152
Cherry_(including_sour)__Powdery_mildew,film,1,0.9872611464968152
Cherry_(including_sour)__Powdery_mildew,film,42,0.9807692307692308
Cherry_(including_sour)__Powdery_mildew,film,123,0.9872611464968152
Cherry_(including_sour)__Powdery_mildew,film,492,0.9904153354632588
Cherry_(including_sour)__healthy,one_stage,0,0.9921259842519684
Cherry_(including_sour)__healthy,one_stage,1,1.0
Cherry_(including_sour)__healthy,one_stage,42,0.9961089494163424
Cherry_(including_sour)__healthy,one_stage,123,0.992248062015504
Cherry_(including_sour)__healthy,one_stage,492,0.9921259842519684
Cherry_(including_sour)__healthy,two_stage,0,1.0
Cherry_(including_sour)__healthy,two_stage,1,0.9961089494163424
Cherry_(including_sour)__healthy,two_stage,42,1.0
Cherry_(including_sour)__healthy,two_stage,123,1.0
Cherry_(including_sour)__healthy,two_stage,492,1.0
Cherry_(including_sour)__healthy,attention,0,0.9946435929130614
Cherry_(including_sour)__healthy,attention,1,0.9975369458128078
Cherry_(including_sour)__healthy,attention,42,0.995049504950495
Cherry_(including_sour)__healthy,attention,123,0.9975389663658736
Cherry_(including_sour)__healthy,attention,492,0.9971252566735112
Cherry_(including_sour)__healthy,gating,0,0.9908940397350994
Cherry_(including_sour)__healthy,gating,1,0.9954713874022232
Cherry_(including_sour)__healthy,gating,42,0.9938042131350682
Cherry_(including_sour)__healthy,gating,123,0.9950454170107348
Cherry_(including_sour)__healthy,gating,492,0.9946435929130614
Cherry_(including_sour)__healthy,ffs,0,0.9599325179249262
Cherry_(including_sour)__healthy,ffs,1,0.9602344077019672
Cherry_(including_sour)__healthy,ffs,42,0.9612338474364318
Cherry_(including_sour)__healthy,ffs,123,0.960337552742616
Cherry_(including_sour)__healthy,ffs,492,0.9619087484303056
Cherry_(including_sour)__healthy,ffc,0,0.9643007139857204
Cherry_(including_sour)__healthy,ffc,1,0.955937893411666
Cherry_(including_sour)__healthy,ffc,42,0.9681742043551088
Cherry_(including_sour)__healthy,ffc,123,0.95578231292517
Cherry_(including_sour)__healthy,ffc,492,0.9545071609098568
Cherry_(including_sour)__healthy,film,0,0.9643449419568824
Cherry_(including_sour)__healthy,film,1,0.9507221750212403
Cherry_(including_sour)__healthy,film,42,0.9612015018773468
Cherry_(including_sour)__healthy,film,123,0.9611366485582952
Cherry_(including_sour)__healthy,film,492,0.9630872483221476
Corn_(maize)__Cercospora_leaf_spot Gray_leaf_spot,one_stage,0,0.8831168831168831
Corn_(maize)__Cercospora_leaf_spot Gray_leaf_spot,one_stage,1,0.8489208633093526
Corn_(maize)__Cercospora_leaf_spot Gray_leaf_spot,one_stage,42,0.8689655172413793
Corn_(maize)__Cercospora_leaf_spot Gray_leaf_spot,one_stage,123,0.8085106382978723
Corn_(maize)__Cercospora_leaf_spot Gray_leaf_spot,one_stage,492,0.8717948717948718
Corn_(maize)__Cercospora_leaf_spot Gray_leaf_spot,two_stage,0,0.9056603773584906
Corn_(maize)__Cercospora_leaf_spot Gray_leaf_spot,two_stage,1,0.8571428571428571
Corn_(maize)__Cercospora_leaf_spot Gray_leaf_spot,two_stage,42,0.89171974522293
Corn_(maize)__Cercospora_leaf_spot Gray_leaf_spot,two_stage,123,0.8888888888888888
Corn_(maize)__Cercospora_leaf_spot Gray_leaf_spot,two_stage,492,0.8466257668711656
Corn_(maize)__Cercospora_leaf_spot Gray_leaf_spot,attention,0,0.91156462585034
